time_s,joint,position,velocity,effort
1762773237.7577682,joint_a1,0.4498628421349242,-0.1204920543498565,0.0
1762773237.7577682,joint_a2,1.4111091719963773,-0.08159217650594877,0.0
1762773237.7577682,joint_a3,0.8926777005879197,-0.02138185312262655,0.0
1762773237.7577682,joint_a4,1.951440487550811,0.01058228915737401,0.0
1762773237.7577682,joint_a5,2.464692500778069,-0.043812423167965395,0.0
1762773237.7577682,joint_a6,1.0235293183663676,-0.1462091820366401,0.0
1762773237.7577682,joint_a7,-0.7312373472317634,0.07551293914809978,0.0
1762773237.7620957,joint_a1,0.449327992967172,-0.1204920543498565,0.0
1762773237.7620957,joint_a2,1.4107469945238895,-0.08159217650594877,0.0
1762773237.7620957,joint_a3,0.8925827892146401,-0.02138185312262655,0.0
1762773237.7620957,joint_a4,1.9514874610095942,0.01058228915737401,0.0
1762773237.7620957,joint_a5,2.464498022908179,-0.043812423167965395,0.0
1762773237.7620957,joint_a6,1.0228803140834548,-0.1462091820366401,0.0
1762773237.7620957,joint_a7,-0.7309021547340023,0.07551293914809978,0.0
1762773237.7665596,joint_a1,0.44880205021060116,-0.1204920543498565,0.0
1762773237.7665596,joint_a2,1.4103908481003125,-0.08159217650594877,0.0
1762773237.7665596,joint_a3,0.8924894583237977,-0.02138185312262655,0.0
1762773237.7665596,joint_a4,1.9515336522573101,0.01058228915737401,0.0
1762773237.7665596,joint_a5,2.464306783521173,-0.043812423167965395,0.0
1762773237.7665596,joint_a6,1.0222421171446505,-0.1462091820366401,0.0
1762773237.7665596,joint_a7,-0.7305725439261643,0.07551293914809978,0.0
1762773237.774384,joint_a1,0.4480249869512584,-0.1204920543498565,0.0
1762773237.774384,joint_a2,1.4098646533818748,-0.08159217650594877,0.0
1762773237.774384,joint_a3,0.892351564978316,-0.02138185312262655,0.0
1762773237.774384,joint_a4,1.951601898318416,0.01058228915737401,0.0
1762773237.774384,joint_a5,2.4640242335677316,-0.043812423167965395,0.0
1762773237.774384,joint_a6,1.021299201994334,-0.1462091820366401,0.0
1762773237.774384,joint_a7,-0.7300855547140243,0.07551293914809978,0.0
1762773237.7751577,joint_a1,0.44776171675267823,-0.1204920543498565,0.0
1762773237.7751577,joint_a2,1.4096863778214885,-0.08159217650594877,0.0
1762773237.7751577,joint_a3,0.892304846505899,-0.02138185312262655,0.0
1762773237.7751577,joint_a4,1.951625020186351,0.01058228915737401,0.0
1762773237.7751577,joint_a5,2.463928505219419,-0.043812423167965395,0.0
1762773237.7751577,joint_a6,1.0209797409261605,-0.1462091820366401,0.0
1762773237.7751577,joint_a7,-0.7299205620380161,0.07551293914809978,0.0
